"Accumulated Depreciation Amount","Yığılmış Amortizasiya Məbləği"
"Accumulated Depreciation as on","Tarixinə Yığılmış Amortizasiya"
"Accumulated Monthly","Aylıq Yığılmış"
"Accumulated Values","Yığılmış Dəyərlər"
"Accumulated Values in Group Company","Qrup Şirkətində Yığılmış Dəyərlər"
"Achieved ({})","Əldə edilib ({})"
"Action","Əməliyyat"
"Action Initialised","Əməliyyat Başladıldı"
"Actions","Əməliyyatlar"
"Active","Aktiv"
"Activity Cost exists for Employee {0} against Activity Type - {1}","{0} İşçisi üçün {1} Fəaliyyət Növü üzrə Fəaliyyət Xərci mövcuddur"
"Activity Cost per Employee","İşçi başına Fəaliyyət Xərci"
"Activity Type","Fəaliyyət növü"
"Actual Cost","Faktiki Maya Dəyəri"
"Actual Delivery Date","Faktiki Çatdırılma Tarixi"
"Actual Qty","Faktiki Miqdar"
"Actual Qty is mandatory","Faktiki Miqdar məcburidir"
"Actual Qty {0} / Waiting Qty {1}","Faktiki Miqdar {0} / Gözləyən Miqdar {1}"
"Actual Qty: Quantity available in the warehouse.","Faktiki Miqdar: Anbarda mövcud olan miqdar."
"Actual qty in stock","Stokda faktiki miqdar"
"Actual type tax cannot be included in Item rate in row {0}","{0} sətrində faktiki vergi növü Məhsul qiymətinə daxil edilə bilməz"
"Add","Əlavə et"
"Add / Edit Prices","Qiymətləri Əlavə et / Düzəliş et"
"Add Comment","Şərh Əlavə et"
"Add Customers","Müştərilər Əlavə et"
"Add Employees","İşçilər Əlavə et"
"Add Item","Məhsul Əlavə et"
"Add Items","Məhsullar Əlavə et"
"Add Leads","Potensial Müştəri Əlavə et"
"Add Multiple Tasks","Çoxlu Tapşırıq Əlavə et"
"Add Sales Partners","Satış Tərəfdaşları Əlavə et"
"Add Serial No","Seriya Nömrəsi Əlavə et"
"Add Students","Tələbələr Əlavə et"
"Add Suppliers","Təchizatçılar Əlavə et"
"Add Time Slots","Vaxt Slotları Əlavə et"
"Add Timesheets","Vaxt Cədvəlləri Əlavə et"
"Add Timeslots","Vaxt Slotları Əlavə et"
"Add Users to Marketplace","İstifadəçiləri Marketplace-ə Əlavə et"
"Add a new address","Yeni ünvan əlavə et"
"Add cards or custom sections on homepage","Ana səhifəyə kartlar və ya xüsusi bölmələr əlavə edin"
"Add more items or open full form","Daha çox məhsul əlavə edin və ya tam formanı açın"
"Add notes","Qeydlər əlavə et"
"Add the rest of your organization as your users. You can also add invite Customers to your portal by adding them from Contacts","Təşkilatınızın qalan hissəsini istifadəçi kimi əlavə edin. Müştəriləri Kontaktlardan əlavə edərək portalınıza dəvət edə bilərsiniz"
"Add/Remove Recipients","Alıcıları Əlavə et/Sil"
"Added","Əlavə edildi"
"Added {0} users","{0} istifadəçi əlavə edildi"
"Additional Salary Component Exists.","Əlavə Maaş Komponenti Mövcuddur."
"Address","Ünvan"
"Address Line 2","Ünvan Sətri 2"
"Address Name","Ünvan Adı"
"Address Title","Ünvan Başlığı"
"Address Type","Ünvan Növü"
"Administrative Expenses","İnzibati Xərclər"
"Administrative Officer","İnzibati İşçi"
"Administrator","Administrator"
"Admission","Qəbul"
"Admission and Enrollment","Qəbul və Qeydiyyat"
"Admissions for {0}","{0} üçün Qəbullar"
"Admit","Qəbul et"
"Admitted","Qəbul edildi"
"Advance Amount","Avans Məbləği"
"Advance Payments","Avans Ödənişləri"
"Advance account currency should be same as company currency {0}","Avans hesabı valyutası şirkət valyutası {0} ilə eyni olmalıdır"
"Advance amount cannot be greater than {0} {1}","Avans məbləği {0} {1}-dən çox ola bilməz"
"Advertising","Reklam"
"Aerospace","Aerokosmik"
"Against","Qarşı"
"Against Account","Qarşı Hesab"
"Against Journal Entry {0} does not have any unmatched {1} entry","{0} Uçot Qəbzinə qarşı heç bir uyğun gəlməyən {1} qeydi yoxdur"
"Against Journal Entry {0} is already adjusted against some other voucher","{0} Uçot Qəbzi artıq başqa bir sənədə qarşı tənzimlənib"
"Against Supplier Invoice {0} dated {1}","{0} tarixli Təchizatçı Fakturasına ({1}) əsasən"
"Against Voucher","Qarşı Sənəd"
"Against Voucher Type","Qarşı Sənəd Növü"
"Age","Yaş"
"Age (Days)","Yaş (Gün)"
"Ageing Based On","Yaşlandırma Əsası"
"Ageing Range 1","Yaşlandırma Aralığı 1"
"Ageing Range 2","Yaşlandırma Aralığı 2"
"Ageing Range 3","Yaşlandırma Aralığı 3"
"Agriculture","Kənd Təsərrüfatı"
"Agriculture (beta)","Kənd Təsərrüfatı (beta)"
"Airline","Aviaşirkət"
"All Accounts","Bütün Hesablar"
"All Addresses.","Bütün Ünvanlar."
"All Assessment Groups","Bütün Qiymətləndirmə Qrupları"
"All BOMs","Bütün Reseptlər"
"All Contacts.","Bütün Kontaktlar."
"All Customer Groups","Bütün Müştəri Qrupları"
"All Day","Bütün Gün"
"All Departments","Bütün Şöbələr"
"All Healthcare Service Units","Bütün Səhiyyə Xidmət Vahidləri"
"All Item Groups","Bütün Məhsul Qrupları"
"All Products","Bütün Məhsullar"
"All Products or Services.","Bütün Məhsullar və ya Xidmətlər."
"All Student Admissions","Bütün Tələbə Qəbulları"
"All Supplier Groups","Bütün Təchizatçı Qrupları"
"All Supplier scorecards.","Bütün Təchizatçı qiymətləndirmə kartları."
"All Territories","Bütün Ərazilər"
"All Warehouses","Bütün Anbarlar"
"All communications including and above this shall be moved into the new Issue","Bütün kommunikasiyalar (bu daxil olmaqla və yuxarıdakılar) yeni Problemə köçürüləcək"
"All items have already been transferred for this Work Order.","Bu İş Sifarişi üçün bütün məhsullar artıq transfer edilib."
"All other ITC","Bütün digər ITC"
"All the mandatory Task for employee creation hasn't been done yet.","İşçi yaradılması üçün bütün məcburi Tapşırıqlar hələ yerinə yetirilməyib."
"Allocate Payment Amount","Ödəniş Məbləğini Təhsis et"
"Allocated Amount","Təhsis edilmiş Məbləğ"
"Allocating leaves...","Məzuniyyətlər təhsis edilir..."
"Already record exists for the item {0}","{0} məhsulu üçün qeyd artıq mövcuddur"
"""Already set default in pos profile {0} for user {1}, kindly disabled default""","""{1} istifadəçisi üçün {0} pos profilində artıq standart təyin edilib, lütfən standartı deaktiv edin"""
"Alternate Item","Alternativ Məhsul"
"Alternative item must not be same as item code","Alternativ məhsul məhsul kodu ilə eyni olmamalıdır"
"Amended From","Düzəliş Əsası"
"Amount","Məbləğ"
"Amount After Depreciation","Amortizasiyadan Sonrakı Məbləğ"
"Amount of Integrated Tax","İnteqrasiya Edilmiş Vergi Məbləği"
"Amount of TDS Deducted","Tutulan TDS Məbləği"
"Amount should not be less than zero.","Məbləğ sıfırdan az olmamalıdır."
"Amount to Bill","Faktura Məbləği"
"Amount {0} {1} against {2} {3}","Məbləğ {0} {1} qarşı {2} {3}"
"Amount {0} {1} deducted against {2}","Məbləğ {0} {1} tutuldu ({2} qarşı)"
"Amount {0} {1} transferred from {2} to {3}","Məbləğ {0} {1} {2}-dən {3}-ə köçürüldü"
"Amount {0} {1} {2} {3}","Məbləğ {0} {1} {2} {3}"
"Amt","Məb"
"""An Item Group exists with same name, please change the item name or rename the item group""","""Eyni adlı Məhsul Qrupu mövcuddur, lütfən məhsul adını dəyişin və ya məhsul qrupunun adını dəyişdirin"""
"An academic term with this 'Academic Year' {0} and 'Term Name' {1} already exists. Please modify these entries and try again.","Bu 'Akademik İl' {0} və 'Semestr Adı' {1} olan akademik semestr artıq mövcuddur. Lütfən, bu qeydləri dəyişdirin və yenidən cəhd edin."
"An error occurred during the update process","Yeniləmə prosesi zamanı xəta baş verdi"
"""An item exists with same name ({0}), please change the item group name or rename the item""","""Eyni adlı məhsul ({0}) mövcuddur, lütfən məhsul qrupunun adını dəyişin və ya məhsulun adını dəyişdirin"""
"Analyst","Analitik"
"Annual Billing: {0}","İllik Faktura: {0}"
"Another Budget record '{0}' already exists against {1} '{2}' and account '{3}' for fiscal year {4}","{4} maliyyə ili üçün {1} '{2}' və '{3}' hesabına qarşı başqa bir Büdcə qeydi '{0}' artıq mövcuddur"
"Another Period Closing Entry {0} has been made after {1}","{1}-dən sonra başqa bir Dövr Bağlanma Qeydi {0} edilib"
"Another Sales Person {0} exists with the same Employee id","Eyni İşçi id-si ilə başqa bir Satıcı {0} mövcuddur"
"Antibiotic","Antibiotik"
"Apparel & Accessories","Geyim və Aksesuarlar"
"Applicable For","Tətbiq Edilə bilər"
"""Applicable if the company is SpA, SApA or SRL""","""Şirkət SpA, SApA və ya SRL olduqda tətbiq edilir"""
"Applicable if the company is a limited liability company","Şirkət məhdud məsuliyyətli cəmiyyət olduqda tətbiq edilir"
"Applicable if the company is an Individual or a Proprietorship","Şirkət Fərdi və ya Sahibkarlıq subyekti olduqda tətbiq edilir"
"Application of Funds (Assets)","Vəsaitlərin Tətbiqi (Aktivlər)"
"Applied","Tətbiq edildi"
"Appointment Confirmation","Randevu Təsdiqi"
"Appointment Duration (mins)","Randevu Müddəti (dəq)"
"Appointment Type","Randevu Növü"
"Appointment {0} and Sales Invoice {1} cancelled","Randevu {0} və Satış Fakturası {1} ləğv edildi"
"Appointments and Encounters","Randevular və Qəbullar"
"Appointments and Patient Encounters","Randevular və Pasiyent Qəbulları"
"Appraisal {0} created for Employee {1} in the given date range","Verilən tarix aralığında İşçi {1} üçün Qiymətləndirmə {0} yaradıldı"
"Approving Role cannot be same as role the rule is Applicable To","Təsdiqləyən Rol qaydanın Tətbiq Edildiyi rol ilə eyni ola bilməz"
"Approving User cannot be same as user the rule is Applicable To","Təsdiqləyən İstifadəçi qaydanın Tətbiq Edildiyi istifadəçi ilə eyni ola bilməz"
"""Apps using current key won't be able to access, are you sure?""","""Cari açarı istifadə edən tətbiqlər daxil ola bilməyəcək, əminsiniz?"""
"Are you sure you want to cancel this appointment?","Bu randevunu ləğv etmək istədiyinizə əminsiniz?"
"Arrear","Borc"
"As Examiner","İmtahançı kimi"
"As On Date","Tarixə olan"
"As Supervisor","Nəzarətçi kimi"
"As per rules 42 & 43 of CGST Rules","CGST Qaydalarının 42 və 43-cü qaydalarına əsasən"
"As per section 17(5)","17(5) maddəsinə əsasən"
"Assessment","Qiymətləndirmə"
"Assessment Criteria","Qiymətləndirmə Meyarları"
"Assessment Group","Qiymətləndirmə Qrupu"
"Assessment Group:","Qiymətləndirmə Qrupu:"
"Assessment Plan","Qiymətləndirmə Planı"
"Assessment Plan Name","Qiymətləndirmə Planının Adı"
"Assessment Report","Qiymətləndirmə Hesabatı"
"Assessment Reports","Qiymətləndirmə Hesabatları"
"Assessment Result","Qiymətləndirmə Nəticəsi"
"Assessment Result record {0} already exists.","Qiymətləndirmə Nəticəsi qeydi {0} artıq mövcuddur."
"Asset","Aktiv"
"Asset Category","Aktiv Kateqoriyası"
"Asset Category is mandatory for Fixed Asset item","Əsas Vəsait məhsulu üçün Aktiv Kateqoriyası məcburidir"
"Asset Maintenance","Aktiv Baxımı"
"Asset Movement","Aktiv Hərəkəti"
"Asset Movement record {0} created","Aktiv Hərəkəti qeydi {0} yaradıldı"
"Asset Name","Aktiv Adı"
"Asset Received But Not Billed","Aktiv Qəbul Edildi, lakin Fakturalanmadı"
"Asset Value Adjustment","Aktiv Dəyərinin Tənzimlənməsi"
"""Asset cannot be cancelled, as it is already {0}""","""Aktiv ləğv edilə bilməz, çünki artıq {0}"""
"Asset scrapped via Journal Entry {0}","Aktiv Uçot Qəbzi {0} vasitəsilə silindi"
"""Asset {0} cannot be scrapped, as it is already {1}""","""Aktiv {0} silinə bilməz, çünki artıq {1}"""
"Asset {0} does not belong to company {1}","Aktiv {0} {1} şirkətinə aid deyil"
"Asset {0} must be submitted","Aktiv {0} təsdiq edilməlidir"
"Assets","Aktivlər"
"Assign To","Təyin Et"
"Associate","Əlaqələndirmək"
"At least one mode of payment is required for POS invoice.","POS fakturası üçün ən azı bir ödəniş üsulu tələb olunur."
"Atleast one item should be entered with negative quantity in return document","Qaytarma sənədində ən azı bir məhsul mənfi miqdarla daxil edilməlidir"
"Atleast one of the Selling or Buying must be selected","Satış və ya Satınalmadan ən azı biri seçilməlidir"
"Atleast one warehouse is mandatory","Ən azı bir anbar məcburidir"
"Attach Logo","Loqo Əlavə et"
"Attachment","Qoşma"
"Attachments","Qoşmalar"
"Attendance can not be marked for future dates","Davamiyyət gələcək tarixlər üçün qeyd edilə bilməz"
"Attendance date can not be less than employee's joining date","Davamiyyət tarixi işçinin işə qəbul tarixindən az ola bilməz"
"Attendance for employee {0} is already marked","İşçi {0} üçün davamiyyət artıq qeyd edilib"
"Attendance has been marked successfully.","Davamiyyət uğurla qeyd edildi."
"Attendance not submitted for {0} as {1} on leave.","{0} üçün davamiyyət təqdim edilmədi, çünki {1} məzuniyyətdədir."
"Attribute table is mandatory","Atribut cədvəli məcburidir"
"Attribute {0} selected multiple times in Attributes Table","Atribut {0} Atributlar Cədvəlində bir neçə dəfə seçilib"
"Authorized Signatory","Səlahiyyətli İmzaçı"
"Auto Material Requests Generated","Avtomatik Material Sorğuları Yaradıldı"
"Auto Repeat","Avtomatik Təkrarla"
"Auto repeat document updated","Avtomatik təkrar sənədi yeniləndi"
"Automotive","Avtomobil"
"Available","Mövcud"
"Available Qty","Mövcud Miqdar"
"Available Selling","Mövcud Satış"
"Available for use date is required","İstifadəyə yararlılıq tarixi tələb olunur"
"Available slots","Mövcud slotlar"
"Available {0}","Mövcud {0}"
"Available-for-use Date should be after purchase date","İstifadəyə Yararlılıq Tarixi satınalma tarixindən sonra olmalıdır"
"Average Age","Orta Yaş"
"Average Rate","Orta Qiymət"
"Avg Daily Outgoing","Orta Gündəlik Çıxış"
"Avg. Buying Price List Rate","Orta Satınalma Qiymət Cədvəli Qiyməti"
"Avg. Selling Price List Rate","Orta Satış Qiymət Cədvəli Qiyməti"
"Avg. Selling Rate","Orta Satış Qiyməti"
"BOM","Resept"
"BOM Browser","Resept Brauzeri"
"BOM No","Resept No"
"BOM Rate","Resept Qiyməti"
"BOM Stock Report","Resept Stok Hesabatı"
"BOM and Manufacturing Quantity are required","Resept və İstehsal Miqdarı tələb olunur"
"BOM does not contain any stock item","Reseptdə heç bir stok məhsulu yoxdur"
"BOM {0} does not belong to Item {1}","Resept {0} Məhsul {1}-ə aid deyil"
"BOM {0} must be active","Resept {0} aktiv olmalıdır"
"BOM {0} must be submitted","Resept {0} təsdiq edilməlidir"
"Balance","Balans"
"Balance (Dr - Cr)","Balans (Dr - Kr)"
"Balance ({0})","Balans ({0})"
"Balance Qty","Qalıq Miq."
"Balance Sheet","Balans Hesabatı"
"Balance Value","Balans Dəyəri"
"Balance for Account {0} must always be {1}","{0} Hesabı üçün Balans həmişə {1} olmalıdır"
"Bank","Bank"
"Bank Account","Bank Hesabı"
"Bank Accounts","Bank Hesabları"
"Bank Draft","Bank Çeki"
"Bank Name","Bank Adı"
"Bank Overdraft Account","Bank Overdraft Hesabı"
"Bank Reconciliation","Bank Üzləşdirməsi"
"Bank Reconciliation Statement","Bank Üzləşdirmə Bəyanatı"
"Bank Statement","Bank Çıxarışı"
"Bank Statement Settings","Bank Çıxarışı Parametrləri"
"Bank Statement balance as per General Ledger","Baş Kitaba əsasən Bank Çıxarışı balansı"
"Bank account cannot be named as {0}","Bank hesabı {0} kimi adlandırıla bilməz"
"Bank/Cash transactions against party or for internal transfer","Tərəf qarşı və ya daxili transfer üçün Bank/Nağd əməliyyatları"
"Banking","Bankçılıq"
"Banking and Payments","Bank və Ödənişlər"
"Barcode {0} already used in Item {1}","Barkod {0} artıq {1} Məhsulunda istifadə olunur"
"Barcode {0} is not a valid {1} code","Barkod {0} etibarlı {1} kodu deyil"
"Base URL","Əsas URL"
"Based On","Əsasən"
"Based On Payment Terms","Ödəniş Şərtlərinə Əsasən"
"Batch","Partiya"
"Batch Entries","Partiya Girişləri"
"Batch ID is mandatory","Partiya İD məcburidir"
"Batch Inventory","Partiya İnventarı"
"Batch Name","Partiya Adı"
"Batch No","Partiya No"
"Batch number is mandatory for Item {0}","{0} Məhsulu üçün Partiya nömrəsi məcburidir"
"Batch {0} of Item {1} has expired.","{1} Məhsulunun {0} Partiyasının istifadə müddəti bitib."
"Batch {0} of Item {1} is disabled.","{1} Məhsulunun {0} Partiyası deaktiv edilib."
"Batch:","Partiya:"
"Batches","Partiyalar"
"Become a Seller","Satıcı Ol"
"Bill","Faktura"
"Bill Date","Faktura Tarixi"
"Bill No","Faktura No"
"Bill of Materials","Materiallar Siyahısı"
"Bill of Materials (BOM)","Materiallar Siyahısı (Resept)"
"Billable Hours","Fakturalana Bilən Saatlar"
"Billed","Fakturalanıb"
"Billed Amount","Fakturalanan Məbləğ"
"Billing Address","Faktura Ünvanı"
"Billing Address is same as Shipping Address","Faktura Ünvanı Çatdırılma Ünvanı ilə eynidir"
"Billing Amount","Faktura Məbləği"
"Billing Status","Faktura Statusu"
"Billing currency must be equal to either default company's currency or party account currency","Faktura valyutası ya şirkətin standart valyutasına, ya da tərəf hesabının valyutasına bərabər olmalıdır"
"Bills raised by Suppliers.","Təchizatçılar tərəfindən qaldırılan fakturalar."
"Bills raised to Customers.","Müştərilərə qaldırılan fakturalar."
"Biotechnology","Biotexnologiya"
"Black","Qara"
"Blanket Orders from Costumers.","Müştərilərdən Ümumi Sifarişlər."
"Block Invoice","Fakturanı Blokla"
"Boms","Reseptlər"
"Both Trial Period Start Date and Trial Period End Date must be set","Həm Sınaq Müddəti Başlama Tarixi, həm də Sınaq Müddəti Bitmə Tarixi təyin edilməlidir"
"Both Warehouse must belong to same Company","Hər iki Anbar eyni Şirkətə aid olmalıdır"
"Branch","Filial"
"Broadcasting","Yayım"
"Brokerage","Brokerlik"
"Browse BOM","Reseptə Bax"
"Budget Against","Büdcə Qarşı"
"Budget List","Büdcə Siyahısı"
"Budget Variance Report","Büdcə Fərqi Hesabatı"
"Budget cannot be assigned against Group Account {0}","Büdcə Qrup Hesabı {0}-a təyin edilə bilməz"
"""Budget cannot be assigned against {0}, as it's not an Income or Expense account""","""Büdcə {0}-a təyin edilə bilməz, çünki bu Gəlir və ya Xərc hesabı deyil"""
"Buildings","Binalar"
"Bundle items at time of sale.","Satış zamanı məhsulları paketləyin."
"Business Development Manager","Biznesin İnkişafı Meneceri"
"Buy","Al"
"Buying","Satınalma"
"Buying Amount","Satınalma Məbləği"
"Buying Price List","Satınalma Qiymət Cədvəli"
"Buying Rate","Satınalma Qiyməti"
"""Buying must be checked, if Applicable For is selected as {0}""","""Əgər Tətbiq Edilir seçimi {0} olaraq seçilibsə, Satınalma işarələnməlidir"""
"By {0}","{0} Tərəfindən"
"Bypass credit check at Sales Order","Satış Sifarişində kredit yoxlanışını keç"
"C-Form records","C-Form qeydləri"
"C-form is not applicable for Invoice: {0}","C-form Faktura üçün tətbiq edilmir: {0}"
"CEO","CEO"
"CESS Amount","CESS Məbləği"
"CGST Amount","CGST Məbləği"
"CRM","CRM"
"CWIP Account","CWIP Hesabı"
"Calculated Bank Statement balance","Hesablanmış Bank Çıxarışı balansi"
"Campaign","Kampaniya"
"Can be approved by {0}","{0} tərəfindən təsdiqlənə bilər"
"""Can not filter based on Account, if grouped by Account""","""Əgər Hesaba görə qruplaşdırılıbsa, Hesaba əsasən filtrləmək olmaz"""
"""Can not filter based on Voucher No, if grouped by Voucher""","""Əgər Sənədə görə qruplaşdırılıbsa, Sənəd Nömrəsinə əsasən filtrləmək olmaz"""
"""Can not mark Inpatient Record Discharged, there are Unbilled Invoices {0}""","""Stasionar Qeydi Buraxılmış kimi qeyd edilə bilməz, Fakturalanmamış Fakturalar var {0}"""
"Can only make payment against unbilled {0}","Yalnız fakturalanmamış {0} qarşı ödəniş edilə bilər"
"Can refer row only if the charge type is 'On Previous Row Amount' or 'Previous Row Total'","Yalnız xərc növü 'Əvvəlki Sətir Məbləği Üzrə' və ya 'Əvvəlki Sətir Cəmi' olduqda sətrə istinad edilə bilər"
"""Can't change valuation method, as there are transactions against some items which does not have it's own valuation method""","""Qiymətləndirmə metodunu dəyişmək olmaz, çünki öz qiymətləndirmə metodu olmayan bəzi məhsullar üzrə əməliyyatlar var"""
"Can't create standard criteria. Please rename the criteria","Standart meyarlar yaradıla bilməz. Zəhmət olmasa meyarların adını dəyişin"
"Cancel","Ləğv et"
"Cancel Material Visit {0} before cancelling this Warranty Claim","Bu Zəmanət Tələbini ləğv etməzdən əvvəl Material Səfərini {0} ləğv edin"
"Cancel Material Visits {0} before cancelling this Maintenance Visit","Bu Baxım Səfərini ləğv etməzdən əvvəl Material Səfərini {0} ləğv edin"
"Cancel Subscription","Abunəliyi Ləğv et"
"Cancel the journal entry {0} first","Əvvəlcə {0} uçot qeydini ləğv edin"
"Canceled","Ləğv edildi"
"""Cannot Submit, Employees left to mark attendance""","""Təsdiq edilə bilmir, Davamiyyəti qeyd edilməmiş İşçilər qalıb"""
"Cannot be a fixed asset item as Stock Ledger is created.","Stok Qeydi yaradıldığı üçün əsas vəsait məhsulu ola bilməz."
"Cannot cancel because submitted Stock Entry {0} exists","Ləğv edilə bilmir, çünki təsdiqlənmiş Stok Girişi {0} mövcuddur"
"Cannot cancel transaction for Completed Work Order.","Tamamlanmış İş Sifarişi üçün əməliyyatı ləğv etmək olmaz."
